eval_time,ds,ds_size,similarity,bits,model_seqlen,q_group_size,method,type,load_time,gpu_after_loading,gpu_background_ram,gpu_quantized,quant_time
1736.3846361637115,HuggingFaceH4/no_robots test_sft,500,0.43511804117262365,N/A,N/A,N/A,N/A,N/A,15.981323003768921,15645999104,334888960,N/A,N/A
1936.9585247039795,HuggingFaceH4/no_robots test_sft,500,0.46662137150578203,4,N/A,N/A,GEMM,AWQ,8.686888217926025,17736859648,2721251328,7890731008,965.0526883602142
3306.338086605072,HuggingFaceH4/no_robots test_sft,500,0.11333460005838424,2,512,128,N/A,GPTQ,15.207519054412842,17957060608,7890731008,7565672448,862.1129941940308
3324.968285560608,HuggingFaceH4/no_robots test_sft,500,0.11188536815159023,2,512,256,N/A,GPTQ,14.086477756500244,17772511232,2756902912,7964131328,855.113719701767
3333.371958255768,HuggingFaceH4/no_robots test_sft,500,0.11290272836573421,2,512,512,N/A,GPTQ,9.089149236679077,17772511232,2756902912,7964131328,857.6806492805481
2908.306135416031,HuggingFaceH4/no_robots test_sft,500,0.10780013317987323,2,1024,128,N/A,GPTQ,5.683025121688843,17772511232,2756902912,8463253504,1022.6570870876312
2997.2478251457214,HuggingFaceH4/no_robots test_sft,500,0.1080535493819043,2,1024,256,N/A,GPTQ,5.536520957946777,17772511232,2756902912,8463253504,1023.1432101726532
2956.5795483589172,HuggingFaceH4/no_robots test_sft,500,0.10781325326580554,2,1024,512,N/A,GPTQ,5.751467704772949,17772511232,2756902912,8463253504,1022.0044338703156
3366.9830017089844,HuggingFaceH4/no_robots test_sft,500,0.11517334879655391,2,2048,128,N/A,GPTQ,5.563014030456543,17772511232,2756902912,9184673792,1362.5451369285583
3345.4328656196594,HuggingFaceH4/no_robots test_sft,500,0.11504128949996084,2,2048,256,N/A,GPTQ,5.476174831390381,17772511232,2756902912,9184673792,1357.5898625850677
3357.9312241077423,HuggingFaceH4/no_robots test_sft,500,0.11450951788201928,2,2048,512,N/A,GPTQ,5.785235166549683,17772511232,2756902912,9184673792,1358.2153429985046
1532.656194448471,HuggingFaceH4/no_robots test_sft,500,0.4194729043561965,3,512,128,N/A,GPTQ,5.569060564041138,17772511232,2756902912,9052553216,855.520872592926
1523.7663660049438,HuggingFaceH4/no_robots test_sft,500,0.4188151705805212,3,512,256,N/A,GPTQ,5.515800476074219,17772511232,2756902912,9052553216,853.7636685371399
1521.1399130821228,HuggingFaceH4/no_robots test_sft,500,0.4202630968410522,3,512,512,N/A,GPTQ,5.522358417510986,17772511232,2756902912,9052553216,857.029185295105
1449.118369102478,HuggingFaceH4/no_robots test_sft,500,0.4010062961410731,3,1024,128,N/A,GPTQ,5.4858717918396,17772511232,2756902912,9096593408,1021.3950960636139
1477.4919836521149,HuggingFaceH4/no_robots test_sft,500,0.4012365523567423,3,1024,256,N/A,GPTQ,5.560912370681763,17772511232,2756902912,9096593408,1024.670910835266
1445.517140865326,HuggingFaceH4/no_robots test_sft,500,0.40088966019451616,3,1024,512,N/A,GPTQ,5.6638875007629395,17772511232,2756902912,9096593408,1024.521305322647
1234.8428056240082,HuggingFaceH4/no_robots test_sft,500,0.4091145303379744,3,2048,128,N/A,GPTQ,5.584868669509888,17772511232,2756902912,10021437440,1358.4067161083221
1225.015189409256,HuggingFaceH4/no_robots test_sft,500,0.4095901288762689,3,2048,256,N/A,GPTQ,5.506298303604126,17772511232,2756902912,10021437440,1357.5768313407898
1231.2346291542053,HuggingFaceH4/no_robots test_sft,500,0.4115686968173832,3,2048,512,N/A,GPTQ,5.703855276107788,17772511232,2756902912,10021437440,1357.5870611667633
2182.3335239887238,HuggingFaceH4/no_robots test_sft,500,0.44361034423671664,4,512,128,N/A,GPTQ,5.695505380630493,17772511232,2756902912,9669115904,855.4229967594147
2179.963126897812,HuggingFaceH4/no_robots test_sft,500,0.44516810073144736,4,512,256,N/A,GPTQ,5.5962982177734375,17772511232,2756902912,9669115904,856.5191738605499
2193.517655134201,HuggingFaceH4/no_robots test_sft,500,0.4435812411736697,4,512,512,N/A,GPTQ,5.633656978607178,17772511232,2756902912,9669115904,857.0715289115906
2217.727962732315,HuggingFaceH4/no_robots test_sft,500,0.4376305394936353,4,1024,128,N/A,GPTQ,5.580882787704468,17772511232,2756902912,9878831104,1023.2851145267487
2231.3679411411285,HuggingFaceH4/no_robots test_sft,500,0.43515814041905104,4,1024,256,N/A,GPTQ,5.689103364944458,17772511232,2756902912,9878831104,1020.0200839042664
2230.0739982128143,HuggingFaceH4/no_robots test_sft,500,0.4339094118271023,4,1024,512,N/A,GPTQ,6.051332950592041,17772511232,2756902912,9878831104,1020.854407787323
2144.939910888672,HuggingFaceH4/no_robots test_sft,500,0.44830356700811536,4,2048,128,N/A,GPTQ,5.714436769485474,17772511232,2756902912,11036459008,1357.547432422638
2131.875883579254,HuggingFaceH4/no_robots test_sft,500,0.450424740835093,4,2048,256,N/A,GPTQ,5.693535804748535,17772511232,2756902912,11036459008,1361.8837044239044
2130.2829234600067,HuggingFaceH4/no_robots test_sft,500,0.4504476964250207,4,2048,512,N/A,GPTQ,5.636415243148804,17772511232,2756902912,11036459008,1358.0426003932953
2112.061869621277,HuggingFaceH4/no_robots test_sft,500,0.44834115048497913,4,N/A,N/A,N/A,BNB,5.352988004684448,17772511232,17772511232,11036459008,1358.355798959732
2145.236626148224,HuggingFaceH4/no_robots test_sft,500,0.4471174830114469,8,N/A,N/A,N/A,BNB,5.604313135147095,17772511232,2756902912,11036459008,1362.8428056240082
